name,latitude_deg,longitude_deg,icao_code
Timimoun Airport,29.237101,0.276033,DAUT
Ain Beida Airport,31.9172,5.41278,DAUU
Zarzaitine - In Aménas Airport,28.0515,9.64291,DAUZ
Cotonou Cadjehoun International Airport,6.35723,2.38435,DBBB
Ouagadougou Thomas Sankara International Airport,12.3532,-1.51242,DFFD
Bobo Dioulasso Airport,11.1601,-4.33097,DFOO
Kotoka International Airport,5.6051898,-0.166786,DGAA
Ho Airport,6.579691,0.532547,DGAH
Yakubu Tali International Airport,9.553909,-0.86606,DGLE
Prempeh I International Airport,6.71456,-1.59082,DGSI
Sunyani Airport,7.36183,-2.32876,DGSN
Takoradi Airport,4.89605999,-1.774760008,DGTK
Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,DIAP
Bouaké Airport,7.7388,-5.07367,DIBK
Daloa Airport,6.79281,-6.47319,DIDL
Korhogo Airport,9.38718,-5.55666,DIKO
Man Airport,7.27207,-7.58736,DIMN
San Pedro Airport,4.74672,-6.66082,DISP
Yamoussoukro International Airport,6.90317,-5.36558,DIYO
Umaru Musa Yar'adua Airport,13.0078,7.66045,DNKT
Nnamdi Azikiwe International Airport,9.00679,7.26317,DNAA
Akwa Ibom International Airport,4.8725,8.093,DNAI
Akure Airport,7.246739864,5.301010132,DNAK
Asaba International Airport,6.204167,6.665278,DNAS
Sir Abubakar Tafawa Balewa Bauchi State International Airport,10.482833,9.744,DNBC
Benin Airport,6.316979885,5.599500179,DNBE
Bayelsa International Airport,4.95759,6.203327,
Margaret Ekpo International Airport,4.976019859,8.347200394,DNCA
Akanu Ibiam International Airport,6.473718,7.560463,DNEN
Gombe Lawanti International Airport,10.298889,10.9,DNGO
Gusau Airport,12.17286,6.696136,DNGU
Ibadan Airport,7.362460136,3.978329897,DNIB
General Tunde Idiagbon International Airport,8.44021,4.49392,DNIL
Sam Mbakwe International Cargo Airport,5.42706,7.20603,DNIM
Yakubu Gowon Airport,9.639829636,8.869050026,DNJO
Kaduna International Airport,10.696,7.32011,DNKA
Mallam Aminu Kano International Airport,12.045613,8.523566,DNKN
